Product_Field,Backend_Field,Storage,Nullability,Verification,Notes
id,uuid,stations/base_geometries,required,verified,"Joined-inheritance primary key"
geometry,geometry,base_geometries,model-required,verified,"PostGIS SRID 4326; station mutations require Point"
created_by,created_by,base_geometries,nullable,verified,"User foreign key"
station_type,type,stations,nullable,verified,"String(50); allowed catalog is not database-enforced"
name,name,stations,nullable,verified,"Free text"
description,description,stations,nullable,verified,"Free text"
opening_hours,op_hour,stations,nullable,verified,"String(100)"
source,source,stations,nullable,verified,"String(50); enum is not database-enforced"
visibility,visibility,stations,nullable,verified,"String(50); GraphQL exposes a visibility enum"
verification_status,verification_status,stations,nullable,verified,"String(50)"
confidence_score,confidence_score,stations,nullable,verified,"Float; source mapping incorrectly marked required"
is_duplicate,is_duplicate,stations,model-default-false,verified,"Boolean"
dedup_group_id,dedup_group_id,stations,nullable,verified,"String"
is_temporary,is_temporary,stations,model-default-false,verified,"Boolean"
expires_at,expires_at,stations,nullable,verified,"Timezone-aware timestamp"
is_official,is_official,stations,model-default-false,verified,"Boolean"
priority_score,priority_score,stations,nullable,verified,"Float"
updated_by,updated_by,stations,nullable,verified,"User foreign key"
address_or_pole,secondary_locations,secondary_locations,nullable,verified,"location_type plus address/pole fields"
properties,station_properties,station_properties,zero-to-many,verified,"Typed property name/value rows"
suggested_change,station_update_suggestions,station_update_suggestions,zero-to-many,partial,"One field per proposal row; no explicit base_version column"
photos,photos,photos,zero-to-many,partial,"Polymorphic ref_type/ref_uuid; not exposed as a direct StationType collection in reviewed snapshot"
operational_status,-,-,missing,product-gap,"No single approved open/paused/closed/full field observed in Station model"
version_chain,-,-,missing,product-gap,"Timestamp/delete history is not the PRD field-level version chain"
